id,name,media_type,genres,created_by,published_by,short_description,franchises,regions
3,A Discovery of Witches,Show,{Fantasy},{},"{Shudder,Sundance Now}",Historian Diana Bishop discovers a long-lost bewitched manuscript and is thrown into the heart of a dangerous underworld.,{},
8,After Life,Show,{Comedy},{},{Netflix.com},"After his wife Lisa suddenly dies, Tony (Ricky Gervais) changes. He considers taking his own life, but decides instead to live long enough to punish the world by saying and doing whatever he likes from now on",{},
9,Aggretsuko,Show,{Anime},{},{Netflix.com},"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work. ",{},
11,All Elite Wrestling,Show,{Pro Wrestling},{},{TNT},"Founded by President and CEO Tony Khan, AEW (All Elite Wrestling) is headlined by a diverse roster of world-class male and female professional wrestlers.",{},
14,Another Life,Show,{Sci-Fi},{},{Netflix.com},"Another Life centers on astronaut Niko Breckinridge (Katee Sackhoff) who is focused on searching for alien intelligence.  She leads a crew on a mission to explore the genesis of an alien artifact.  As Niko and her young crew investigate, they face unimaginable danger on what might very well be a one-way mission.",{},
30,Batwoman,Show,{Action-Adventure},{},{The CW},"Expanding upon her introduction into the ""Arrowverse"", Batwoman is a TV series following crimefighter Kate Kane, better known by her hero alias Batwoman. ",{},
37,Black Summer,Show,{Drama},{},{Netflix.com},Black Summer followers survivors of a cataclysmic event who contend with zombies -- and each other -- to reach a military evacuation site.,{},
39,Bodyguard,Show,{Drama},{},{Netflix.com},"Set in and around the corridors of power, Bodyguard tells the fictional story of David Budd (Richard Madden), a heroic, but volatile war veteran now working as a Specialist Protection Officer for the Royalty and Specialist Branch (RasP) of London’s Metropolitan Police Service. When he is assigned to protect the ambitious and powerful Home Secretary Julia Montague (Keeley Hawes), Budd finds himself torn between his duty and his beliefs. Responsible for her safety, could he become her biggest threat?",{},
46,Briarpatch,Show,{Drama},{},{USA Network},"Based on the book by Ross Thomas, Briarpatch follows Allegra Dill, an investigator returning to her border-town Texas home after her sister is killed by a car bomb.  As she seeks answers, Dill stumbles across widespread corruption in her beloved hometown.",{},
57,Chernobyl,Show,{Drama},{},{HBO},"Chernobyl dramatizes the 1986 nuclear accident, one of the worst human-made catastrophes in history, and tells the story of the brave men and women who made incredible sacrifices to save Europe from unimaginable disaster, all the while battling a culture of disinformation.",{},
62,Condor,Show,{Drama},{},{Audience Network},The series follows a young CIA analyst who stumbles onto a terrible but brilliant plan that threatens the lives of millions.,{},
64,Conversations with a Killer: The Ted Bundy Tapes,Show,{Documentary},{},{Netflix.com},"On the 30th anniversary of his Florida execution, Conversations with a Killer: The Ted Bundy Tapes brings the infamously twisted mind of serial killer Ted Bundy into the light.",{},
67,Creepshow: The Series,Show,{Horror},{},{Shudder},"Creepshow is a horror anthology series based on the classic horror comic book series, which also spawned a feature film series. ",{},
69,Criminal,Show,{Crime},{},{Netflix.com},"Criminal is a police procedural with a unique premise: it takes place exclusively within the confines of a police interview suite. This stripped down, cat-and-mouse drama will focus on the intense mental conflict between the police officer and the suspect in question.",{},
77,Daybreak,Show,{Comedy},{},{Netflix.com},"This TV adaptation of Brian Ralph's graphic novel centers around a high school outcase named Josh who's searching for his missing girlfriend, Sam, in a post-apocalyptic Glendale, California.  Josh and his friends have to fight off hordes of zombie-like creatures called Ghoulies if they have any intention of staying alive finding Sam.",{},
